target_id	length	eff_length	est_counts	tpm
Sobic.006G004100.2	1392	1204.28	0	0
Sobic.006G004200.1	2233	2045.28	29	1.88061
Sobic.006G004300.1	958	770.355	158	27.2031
Sobic.006G004400.3	1410	1222.28	12	1.30216
Sobic.006G004500.1	1627	1439.28	488	44.9705
Sobic.006G004600.7	2843	2655.28	60	2.99704
Sobic.006G004700.1	1256	1068.28	0	0
Sobic.006G004800.1	2505	2317.28	0	0
Sobic.006G004900.1	1400	1212.28	0	0
Sobic.006G005000.1	3450	3262.28	0	0
Sobic.006G005200.5	1321	1133.28	68	7.95838
Sobic.006G005300.2	1414	1226.28	0	0
Sobic.006G005400.1	1886	1698.28	19	1.48387
Sobic.006G005500.1	5129	4941.28	1.00002	0.0268423
Sobic.006G005550.1	649	461.675	0	0
Sobic.006G005600.1	2910	2722.28	5	0.243607
Sobic.006G005700.1	1265	1077.28	0	0
Sobic.006G005800.2	922	734.507	0	0
Sobic.006G005900.1	1919	1731.28	0	0
Sobic.006G005950.2	192	29.2888	50	226.422
Sobic.006G006000.1	670	482.675	0	0
Sobic.006G006100.1	678	490.675	0	0
Sobic.006G006150.1	756	568.571	0	0
Sobic.006G006200.1	679	491.675	0	0
Sobic.006G006300.1	2045	1857.28	39.354	2.81037
Sobic.006G006400.2	641	453.675	0	0
Sobic.006G006500.1	2138	1950.28	89	6.05265
Sobic.006G006650.1	1938	1750.28	0	0
Sobic.006G006700.1	697	509.624	285	74.173
Sobic.006G006800.1	741	553.571	0	0
Sobic.006G006900.1	709	521.624	0	0
Sobic.006G007001.1	643	455.675	0	0
Sobic.006G007100.1	1391	1203.28	7	0.771586
Sobic.006G007300.1	725	537.571	0	0
Sobic.006G007450.1	1113	925.275	0	0
Sobic.006G007600.2	1015	827.275	2	0.32065
Sobic.006G007700.1	888	700.507	3	0.568015
Sobic.006G007800.1	1245	1057.28	0	0
Sobic.006G007850.1	872	684.507	0	0
Sobic.006G007900.1	1454	1266.28	0	0
Sobic.006G008000.1	1554	1366.28	0	0
Sobic.006G008100.6	1956	1768.28	4.27134	0.32038
Sobic.006G008200.26	1822	1634.28	163.729	13.2877
Sobic.006G008300.1	3560	3372.28	23	0.904599
Sobic.006G008400.1	3201	3013.28	65	2.86105
Sobic.006G008600.3	1736	1548.28	530	45.4024
Sobic.006G008700.2	1848	1660.28	1476	117.912
Sobic.006G008800.1	2362	2174.28	142	8.66214
Sobic.006G008900.5	3618	3430.28	98	3.78921
Sobic.006G009000.1	2006	1818.28	0	0
Sobic.006G009100.1	2938	2750.28	5	0.241127
Sobic.006G009200.1	2629	2441.28	0	0
Sobic.006G009300.2	762	574.571	0	0
Sobic.006G009400.2	1782	1594.28	328	27.2874
Sobic.006G009500.1	2055	1867.28	2	0.14206
Sobic.006G009600.1	2974	2786.28	157	7.47355
Sobic.006G009700.1	1038	850.275	0	0
Sobic.006G009800.1	793	605.571	0	0
Sobic.006G009900.1	1781	1593.28	0	0
Sobic.006G010000.1	3024	2836.28	333	15.5721
Sobic.006G010100.1	3020	2832.28	0	0
Sobic.006G010200.1	1729	1541.28	0	0
Sobic.006G010301.1	900	712.507	0	0
Sobic.006G010400.1	2549	2361.28	202	11.3463
Sobic.006G010500.3	2231	2043.28	12	0.778943
Sobic.006G010600.1	814	626.571	802	169.768
Sobic.006G010700.1	822	634.571	3	0.627036
Sobic.006G010800.1	1441	1253.28	13	1.37578
Sobic.006G010900.1	2270	2082.28	617	39.3005
Sobic.006G011000.1	1420	1232.28	374	40.2546
Sobic.006G011100.1	845	657.507	26	5.24474
Sobic.006G011200.1	2098	1910.28	967	67.1401
Sobic.006G011300.1	2305	2117.28	1471	92.1482
Sobic.006G011350.1	216	45.8492	0	0
Sobic.006G011400.1	2816	2628.28	17	0.857886
Sobic.006G011500.1	3306	3118.28	19	0.808147
Sobic.006G011601.1	480	292.851	0	0
Sobic.006G011700.1	775	587.571	0	0
Sobic.006G011800.1	1984	1796.28	0	0
Sobic.006G011900.1	824	636.571	0	0
Sobic.006G012000.1	798	610.571	0	0
Sobic.006G012200.1	2208	2020.28	2.01482	0.132275
Sobic.006G012300.1	1460	1272.28	25	2.60622
Sobic.006G012400.7	1935	1747.28	200	15.1817
Sobic.006G012500.2	3884	3696.28	1043	37.4258
Sobic.006G012700.1	1125	937.275	97	13.7264
Sobic.006G012800.3	1661	1473.28	0	0
Sobic.006G012900.1	3030	2842.28	327	15.2592
Sobic.006G013000.2	354	168.227	121	95.3985
Sobic.006G013100.1	1634	1446.28	176	16.1404
Sobic.006G013200.2	780	592.571	0	0
Sobic.006G013300.1	4259	4071.28	0	0
Sobic.006G013500.1	1732	1544.28	200	17.1774
Sobic.006G013600.8	4901	4713.28	17	0.478385
Sobic.006G013700.2	3910	3722.28	252.015	8.97987
Sobic.006G013800.1	1121	933.275	263.78	37.4872
Sobic.006G013900.1	913	725.507	154	28.1534
Sobic.006G014000.1	1355	1167.28	330	37.4966
Sobic.006G014100.2	2874	2686.28	71	3.50557
Sobic.006G014200.1	1152	964.275	0	0
Sobic.006G014300.3	971	783.355	33	5.58736
Sobic.006G014400.1	3025	2837.28	0	0
Sobic.006G014500.1	1663	1475.28	0	0
Sobic.006G014632.1	1050	862.275	4	0.61527
Sobic.006G014700.1	2328	2140.28	447	27.7006
Sobic.006G014800.1	4909	4721.28	1	0.0280926
Sobic.006G014900.1	2280	2092.28	119	7.54362
Sobic.006G014950.1	270	89.7522	0	0
Sobic.006G015000.1	2044	1856.28	16	1.14322
Sobic.006G015100.3	2380	2192.28	0	0
Sobic.006G015200.1	783	595.571	0	0
Sobic.006G015251.1	1038	850.275	0	0
Sobic.006G015300.1	1432	1244.28	12	1.27913
Sobic.006G015400.1	2376	2188.28	0	0
Sobic.006G015500.3	3237	3049.28	63	2.74028
Sobic.006G015600.1	1867	1679.28	52	4.10708
Sobic.006G015700.1	1493	1305.28	0	0
Sobic.006G015800.1	3340	3152.28	16.6077	0.698776
Sobic.006G015900.1	1234	1046.28	7	0.887367
Sobic.006G016000.1	1787	1599.28	0	0
Sobic.006G016200.1	213	43.6629	165	501.214
Sobic.006G016500.7	1193	1005.28	7	0.923559
Sobic.006G016600.1	1596	1408.28	109	10.2657
Sobic.006G016700.1	4257	4069.28	6.70238	0.218456
Sobic.006G016800.1	384	197.524	0	0
Sobic.006G016900.1	1936	1748.28	3005	227.974
Sobic.006G017000.1	1951	1763.28	893	67.1711
Sobic.006G017100.2	818	630.571	42	8.83419
Sobic.006G017200.3	4130	3942.28	18	0.605588
Sobic.006G017266.1	817	629.571	0	0
Sobic.006G017332.1	591	403.717	6	1.97118
Sobic.006G017400.1	3485	3297.28	0	0
Sobic.006G017500.1	6132	5944.28	56.6997	1.26512
Sobic.006G017600.4	771	583.571	100	22.7278
Sobic.006G017700.1	683	495.675	0	0
Sobic.006G017800.1	2706	2518.28	28	1.47471
Sobic.006G017900.1	556	368.755	0	0
Sobic.006G018000.1	252	74.2896	0	0
Sobic.006G018100.1	963	775.355	7	1.19743
Sobic.006G018200.1	1206	1018.28	8.34364	1.08678
Sobic.006G018300.1	1252	1064.28	16.6564	2.07576
Sobic.006G018400.1	1951	1763.28	9	0.676977
Sobic.006G018600.1	669	481.675	0	0
Sobic.006G018650.1	1926	1738.28	0	0
Sobic.006G018701.1	1529	1341.28	0	0
Sobic.006G018800.2	3976	3788.28	328	11.4837
Sobic.006G018900.1	3421	3233.28	58	2.37923
Sobic.006G019000.2	1650	1462.28	0	0
Sobic.006G019100.1	3914	3726.28	119	4.23568
Sobic.006G019200.2	1143	955.275	0	0
Sobic.006G019300.1	2170	1982.28	385	25.7601
Sobic.006G019400.1	1129	941.275	6	0.845446
Sobic.006G019501.1	826	638.507	65	13.502
Sobic.006G019600.1	471	283.909	99	46.2496
Sobic.006G019700.1	1653	1465.28	1	0.0905174
Sobic.006G019801.1	1134	946.275	6	0.840979
Sobic.006G019901.1	498	310.82	40	17.0688
Sobic.006G020000.5	1462	1274.28	38	3.95523
Sobic.006G020200.1	2038	1850.28	519.048	37.2068
Sobic.006G020300.2	4046	3858.28	142	4.88142
Sobic.006G020350.1	2209	2021.28	0	0
Sobic.006G020400.1	1029	841.275	28.1992	4.4458
Sobic.006G020500.1	1816	1628.28	0	0
Sobic.006G020600.1	1611	1423.28	0	0
Sobic.006G020700.1	2605	2417.28	0	0
Sobic.006G020900.1	1028	840.275	138	21.7826
Sobic.006G021000.1	2026	1838.28	7	0.505055
Sobic.006G021100.2	1164	976.275	156	21.1935
Sobic.006G021200.1	4061	3873.28	128.52	4.40092
Sobic.006G021250.1	1842	1654.28	21.8672	1.75322
Sobic.006G021275.1	598	410.717	0	0
Sobic.006G021300.2	1017	829.275	0	0
Sobic.006G021400.2	634	446.675	0	0
Sobic.006G021500.1	607	419.717	0	0
Sobic.006G021600.1	1104	916.275	395	57.1771
Sobic.006G021700.1	3878	3690.28	517	18.5816
Sobic.006G021800.1	1561	1373.28	330	31.8719
Sobic.006G021900.1	5014	4826.28	330	9.06887
Sobic.006G022000.1	1929	1741.28	3	0.22851
Sobic.006G022200.1	5573	5385.28	98.3921	2.42328
Sobic.006G022301.1	678	490.675	1	0.270307
Sobic.006G022400.1	2406	2218.28	7	0.418537
Sobic.006G022500.1	1955	1767.28	19	1.42594
Sobic.006G022700.1	1299	1111.28	0	0
Sobic.006G022800.1	1278	1090.28	0	0
Sobic.006G022900.1	2016	1828.28	0	0
Sobic.006G023000.1	831	643.507	0	0
Sobic.006G023100.1	1272	1084.28	0	0
Sobic.006G023200.1	1275	1087.28	0	0
Sobic.006G023300.1	1014	826.275	0	0
Sobic.006G023400.1	1245	1057.28	0	0
Sobic.006G023900.1	1233	1045.28	0	0
Sobic.006G024000.1	1680	1492.28	21	1.86647
Sobic.006G024200.1	2778	2590.28	619	31.6954
Sobic.006G024400.1	3585	3397.28	945	36.8937
Sobic.006G024500.1	1112	924.275	221	31.7134
Sobic.006G024600.2	1992	1804.28	85	6.24838
Sobic.006G024700.1	3284	3096.28	44	1.8848
Sobic.006G025000.2	783	595.571	37	8.23986
Sobic.006G025066.1	1547	1359.28	0	0
Sobic.006G025132.1	853	665.507	1	0.199296
Sobic.006G025200.1	476	288.909	0	0
Sobic.006G025300.1	3851	3663.28	184	6.66192
Sobic.006G025350.1	1956	1768.28	0	0
Sobic.006G025400.1	527	339.755	1	0.390378
Sobic.006G025500.1	531	343.755	0	0
Sobic.006G025600.1	626	438.675	0	0
Sobic.006G025700.2	599	411.717	0	0
Sobic.006G025800.1	599	411.717	0	0
Sobic.006G025900.3	579	391.717	6	2.03156
Sobic.006G026000.1	745	557.571	26	6.18478
Sobic.006G026100.3	1420	1232.28	26	2.79845
Sobic.006G026200.1	612	424.675	17	5.30938
Sobic.006G026250.1	4994	4806.28	120.008	3.31171
Sobic.006G026300.1	503	315.788	0	0
Sobic.006G026400.1	579	391.717	4	1.35438
Sobic.006G026500.1	623	435.675	0	0
Sobic.006G026600.2	766	578.571	53	12.1498
Sobic.006G026700.1	576	388.717	2	0.682414
Sobic.006G026800.1	1890	1702.28	0	0
Sobic.006G026900.1	1905	1717.28	24	1.85363
Sobic.006G027000.2	1854	1666.28	529	42.1076
Sobic.006G027066.1	2085	1897.28	4	0.279628
Sobic.006G027132.1	1945	1757.28	1	0.0754765
Sobic.006G027200.1	3035	2847.28	662	30.8376
Sobic.006G027300.1	2126	1938.28	13	0.889568
Sobic.006G027500.1	2817	2629.28	1.05874	0.0534077
Sobic.006G027602.1	956	768.432	25	4.31505
Sobic.006G027800.2	2973	2785.28	4	0.190477
Sobic.006G027900.1	1889	1701.28	0	0
Sobic.006G028000.1	1655	1467.28	0	0
Sobic.006G028100.1	1417	1229.28	147	15.8606
Sobic.006G028200.1	5328	5140.28	265	6.83771
Sobic.006G028300.1	1604	1416.28	631	59.0926
Sobic.006G028350.1	996	808.275	0	0
Sobic.006G028400.1	1484	1296.28	15	1.53478
Sobic.006G028500.1	1404	1216.28	0	0
Sobic.006G028550.1	1010	822.275	0	0
Sobic.006G028600.1	3101	2913.28	10	0.455271
Sobic.006G028700.1	3722	3534.28	137	5.14128
Sobic.006G028800.1	2323	2135.28	3	0.186345
Sobic.006G028900.1	1411	1223.28	40	4.33698
Sobic.006G029000.2	1074	886.275	1084	162.223
Sobic.006G029100.1	2403	2215.28	141	8.44195
Sobic.006G029200.1	2562	2374.28	0	0
Sobic.006G029250.2	861	673.507	0	0
Sobic.006G029300.1	4170	3982.28	4	0.133223
Sobic.006G029400.3	1292	1104.28	60	7.20651
Sobic.006G029700.1	2749	2561.28	577	29.8793
Sobic.006G029800.1	1185	997.275	581	77.2703
Sobic.006G029900.1	2111	1923.28	0	0
Sobic.006G030001.1	372	185.716	0	0
Sobic.006G030100.4	8039	7851.28	1812	30.6104
Sobic.006G030200.1	1808	1620.28	0	0
Sobic.006G030300.1	3348	3160.28	366	15.3606
Sobic.006G030401.1	3397	3209.28	362	14.9607
Sobic.006G030600.3	4072	3884.28	275	9.39018
Sobic.006G030700.3	4623	4435.28	602	18.0023
Sobic.006G030800.1	2553	2365.28	203	11.3832
Sobic.006G031000.2	4718	4530.28	0	0
Sobic.006G031100.1	1218	1030.28	0	0
Sobic.006G031200.1	1060	872.275	845	128.486
Sobic.006G031300.1	2024	1836.28	163	11.7734
Sobic.006G031400.1	1513	1325.28	5	0.500398
Sobic.006G031600.5	3227	3039.28	1.11308	0.0485746
Sobic.006G031701.1	1239	1051.28	0	0
Sobic.006G031800.2	2012	1824.28	697	50.675
Sobic.006G031833.4	348	162.327	2	1.63415
Sobic.006G031900.1	1256	1068.28	0	0
Sobic.006G032000.1	849	661.507	0	0
Sobic.006G032033.1	636	448.675	0	0
Sobic.006G032066.1	612	424.675	0	0
Sobic.006G032100.1	1462	1274.28	305	31.7459
Sobic.006G032200.1	1317	1129.28	226	26.5436
Sobic.006G032300.1	6288	6100.28	1287	27.9821
Sobic.006G032400.3	3681	3493.28	299	11.3525
Sobic.006G032500.6	300	116.695	93	105.702
Sobic.006G032600.1	1387	1199.28	108	11.9442
Sobic.006G032700.2	588	400.717	0	0
Sobic.006G032800.1	2050	1862.28	0	0
Sobic.006G032900.1	1688	1500.28	123	10.8739
Sobic.006G033001.1	1821	1633.28	0	0
Sobic.006G033101.1	4994	4806.28	198	5.46397
Sobic.006G033200.1	3240	3052.28	1022	44.4098
Sobic.006G033230.1	3579	3391.28	0	0
Sobic.006G033260.1	1994	1806.28	0	0
Sobic.006G033320.1	1734	1546.28	0	0
Sobic.006G033380.1	2086	1898.28	2.2631	0.158123
Sobic.006G033500.1	2054	1866.28	35	2.48739
Sobic.006G033601.1	536	348.755	29	11.0288
Sobic.006G033700.1	4612	4424.28	94	2.81797
Sobic.006G033800.1	1916	1728.28	54	4.14412
Sobic.006G034000.1	1757	1569.28	665	56.2049
Sobic.006G034050.1	477	289.909	0	0
Sobic.006G034100.3	2492	2304.28	597	34.363
Sobic.006G034200.3	1783	1595.28	0	0
Sobic.006G034225.1	1749	1561.28	0	0
Sobic.006G034250.1	1740	1552.28	3	0.256333
Sobic.006G034300.1	2518	2330.28	13	0.739925
Sobic.006G034400.2	2618	2430.28	413	22.5396
Sobic.006G034500.1	3957	3769.28	1299	45.7091
Sobic.006G034650.2	1867	1679.28	0	0
Sobic.006G034800.1	1027	839.275	280	44.2492
Sobic.006G034900.2	2781	2593.28	1	0.051145
Sobic.006G035200.6	348	162.327	0	0
Sobic.006G035300.1	3486	3298.28	696	27.9881
Sobic.006G035500.1	1531	1343.28	262	25.8695
Sobic.006G035600.1	3816	3628.28	10	0.365554
Sobic.006G035700.1	1149	961.275	0	0
Sobic.006G035900.1	1090	902.275	279	41.0125
Sobic.006G036100.1	2934	2746.28	407	19.6563
Sobic.006G036201.1	916	728.507	0	0
Sobic.006G036300.1	812	624.571	41	8.7067
Sobic.006G036400.1	834	646.507	5	1.02577
Sobic.006G036500.1	1383	1195.28	11.0857	1.23011
Sobic.006G036566.1	1191	1003.28	90.5721	11.9736
Sobic.006G036632.1	1800	1612.28	0	0
Sobic.006G036700.1	210	41.6036	0	0
Sobic.006G037050.1	2239	2051.28	0	0
Sobic.006G037100.1	1597	1409.28	0	0
Sobic.006G037150.1	653	465.675	0	0
Sobic.006G037200.1	490	302.851	4	1.75179
Sobic.006G037300.1	1618	1430.28	617	57.2159
Sobic.006G037401.3	869	681.507	0	0
Sobic.006G037500.1	1463	1275.28	0	0
Sobic.006G037600.2	492	304.851	0	0
Sobic.006G037700.1	3595	3407.28	313	12.184
Sobic.006G038000.7	2886	2698.28	287	14.1074
Sobic.006G038100.4	2649	2461.28	27	1.45497
Sobic.006G038200.1	1479	1291.28	260	26.7058
Sobic.006G038300.2	1183	995.275	34.3901	4.58291
Sobic.006G038400.1	1272	1084.28	175	21.4067
Sobic.006G038500.1	3102	2914.28	225	10.2401
Sobic.006G038701.1	794	606.571	0	0
Sobic.006G038800.1	2127	1939.28	230	15.7304
Sobic.006G038850.1	1528	1340.28	32	3.1667
Sobic.006G038901.1	255	76.8073	0	0
Sobic.006G038951.1	1044	856.275	0	0
Sobic.006G039000.1	498	310.82	2.78119	1.18679
Sobic.006G039100.1	827	639.507	5	1.03699
Sobic.006G039300.1	117	24.7174	0	0
Sobic.006G039400.1	1838	1650.28	367	29.4959
Sobic.006G039500.1	594	406.717	0	0
Sobic.006G039600.1	180	21.7731	6	36.5496
Sobic.006G039700.1	1055	867.275	16	2.44689
Sobic.006G039800.2	4469	4281.28	501	15.5209
Sobic.006G039900.1	1116	928.275	10	1.42881
Sobic.006G040000.1	1105	917.275	187	27.0392
Sobic.006G040101.1	2123	1935.28	0	0
Sobic.006G040201.1	1926	1738.28	0	0
Sobic.006G040301.1	1938	1750.28	0	0
Sobic.006G040401.1	1926	1738.28	0	0
Sobic.006G040500.5	3474	3286.28	569	22.9646
Sobic.006G040550.1	1791	1603.28	0	0
Sobic.006G040800.3	2774	2586.28	34	1.74363
Sobic.006G041000.1	1707	1519.28	718	62.6815
Sobic.006G041100.3	2510	2322.28	303.114	17.3119
Sobic.006G041233.1	1454	1266.28	37	3.87548
Sobic.006G041266.1	686	498.675	262.323	69.7703
Sobic.006G041432.1	285	103.004	2	2.57529
Sobic.006G041600.2	3256	3068.28	774	33.4579
Sobic.006G041700.1	1349	1161.28	234.803	26.8176
Sobic.006G041750.1	364	177.861	0	0
Sobic.006G041800.1	1076	888.275	142	21.2027
Sobic.006G041932.1	1959	1771.28	0	0
Sobic.006G042000.1	435	248.016	0	0
Sobic.006G042200.1	4707	4519.28	246.365	7.23038
Sobic.006G042275.1	1758	1570.28	0	0
Sobic.006G042312.1	855	667.507	71.9371	14.2938
Sobic.006G042350.1	1929	1741.28	0	0
Sobic.006G042387.1	369	182.771	0	0
Sobic.006G042425.1	1623	1435.28	0	0
Sobic.006G042500.1	2034	1846.28	0	0
Sobic.006G042800.1	1209	1021.28	0	0
Sobic.006G043050.1	1920	1732.28	0	0
Sobic.006G043600.2	1566	1378.28	763	73.4243
Sobic.006G043700.1	1446	1258.28	539	56.8152
Sobic.006G043750.1	553	365.755	3	1.08788
Sobic.006G043800.1	2131	1943.28	0	0
Sobic.006G043901.1	420	233.136	18	10.2403
Sobic.006G044000.1	1111	923.275	92	13.2162
Sobic.006G044100.1	1877	1689.28	0	0
Sobic.006G044200.1	1708	1520.28	0	0
Sobic.006G044301.1	192	29.2888	5	22.6422
Sobic.006G044400.1	1902	1714.28	361	27.9305
Sobic.006G044466.1	1379	1191.28	0	0
Sobic.006G044532.1	1782	1594.28	0	0
Sobic.006G044600.2	1759	1571.28	668	56.3866
Sobic.006G044800.1	876	688.507	0	0
Sobic.006G044982.1	1085	897.275	0	0
Sobic.006G045000.1	798	610.571	106	23.0261
Sobic.006G045100.2	850	662.507	2	0.400397
Sobic.006G045200.3	3084	2896.28	57.5953	2.63754
Sobic.006G045400.3	375	188.659	0	0
Sobic.006G045450.1	544	356.755	7.06231	2.6256
Sobic.006G045500.2	1900	1712.28	43.0022	3.33095
Sobic.006G045601.2	685	497.675	42	11.1932
Sobic.006G045700.4	610	422.717	121	37.9653
Sobic.006G045800.1	1092	904.275	0	0
Sobic.006G045901.1	829	641.507	503	103.996
Sobic.006G046000.1	961	773.355	87	14.9208
Sobic.006G046300.1	1701	1513.28	1	0.0876463
Sobic.006G046350.1	605	417.717	0	0
Sobic.006G046400.2	393	206.444	16	10.2794
Sobic.006G046500.1	1452	1264.28	4	0.419633
Sobic.006G046600.4	3639	3451.28	33	1.26819
Sobic.006G046700.1	3605	3417.28	346	13.4291
Sobic.006G046900.1	1154	966.275	17	2.33345
Sobic.006G046950.1	893	705.507	6	1.12798
Sobic.006G047000.1	2066	1878.28	96	6.77896
Sobic.006G047100.1	3027	2839.28	98	4.57794
Sobic.006G047200.1	1601	1413.28	0	0
Sobic.006G047300.1	1766	1578.28	128	10.7567
Sobic.006G047350.1	1515	1327.28	0	0
Sobic.006G047400.1	740	552.571	772	185.302
Sobic.006G047500.1	1291	1103.28	19	2.28413
Sobic.006G047700.1	558	370.755	0	0
Sobic.006G047900.1	2921	2733.28	231	11.2093
Sobic.006G047950.1	450	262.964	184	92.8052
Sobic.006G048000.3	2939	2751.28	26	1.2534
Sobic.006G048100.3	2100	1912.28	1	0.0693587
Sobic.006G048201.1	711	523.624	0	0
Sobic.006G048300.2	1336	1148.28	140.157	16.189
Sobic.006G048400.1	1287	1099.28	232	27.9919
Sobic.006G048500.1	743	555.571	411.497	98.2378
Sobic.006G048600.1	685	497.675	1118.77	298.159
Sobic.006G048700.1	1919	1731.28	3133	240.019
Sobic.006G048775.1	1488	1300.28	489.931	49.9748
Sobic.006G048850.1	1707	1519.28	0	0
Sobic.006G048925.1	1839	1651.28	0	0
Sobic.006G049100.2	2017	1829.28	355	25.7395
Sobic.006G049200.1	1811	1623.28	293	23.9401
Sobic.006G049300.1	2061	1873.28	517	36.605
Sobic.006G049450.1	1998	1810.28	0	0
Sobic.006G049600.1	2774	2586.28	192	9.84641
Sobic.006G049650.1	564	376.755	0	0
Sobic.006G049666.1	1788	1600.28	0	0
Sobic.006G049700.1	1373	1185.28	354.689	39.6899
Sobic.006G049900.5	3086	2898.28	129	5.90339
Sobic.006G050000.1	1746	1558.28	283	24.0876
Sobic.006G050050.1	2220	2032.28	616.101	40.2088
Sobic.006G050100.1	1608	1420.28	59	5.50974
Sobic.006G050300.3	1046	858.275	0	0
Sobic.006G050400.2	1055	867.275	456	69.7364
Sobic.006G050500.2	1532	1344.28	1342	132.408
Sobic.006G050600.1	1219	1031.28	0	0
Sobic.006G050700.4	5034	4846.28	258	7.06095
Sobic.006G050800.1	1369	1181.28	0	0
Sobic.006G050900.1	795	607.571	0	0
Sobic.006G051000.3	1944	1756.28	19	1.43487
Sobic.006G051100.1	925	737.507	7	1.25888
Sobic.006G051201.1	1257	1069.28	0	0
Sobic.006G051250.1	792	604.571	18	3.9489
Sobic.006G051300.1	757	569.571	37	8.61599
Sobic.006G051700.2	4206	4018.28	146	4.81908
Sobic.006G051800.2	3680	3492.28	953	36.1939
Sobic.006G051900.1	528	340.755	88	34.2524
Sobic.006G052001.1	345	159.424	2	1.6639
Sobic.006G052100.1	2928	2740.28	269	13.02
Sobic.006G052200.2	4666	4478.28	111	3.28748
Sobic.006G052300.1	3253	3065.28	510	22.0674
Sobic.006G052400.1	1343	1155.28	450	51.6629
Sobic.006G052500.2	4300	4112.28	2475.46	79.8409
Sobic.006G052650.1	1062	874.275	0	0
Sobic.006G052800.1	3798	3610.28	627.54	23.0543
Sobic.006G052900.2	1665	1477.28	2	0.179564
Sobic.006G053000.2	1768	1580.28	5	0.419651
Sobic.006G053100.1	2392	2204.28	285	17.1487
Sobic.006G053200.1	2468	2280.28	130	7.56149
Sobic.006G053301.1	1834	1646.28	26	2.0947
Sobic.006G053400.1	1311	1123.28	0	0
Sobic.006G053500.2	3042	2854.28	284	13.197
Sobic.006G053651.1	1817	1629.28	20	1.62812
Sobic.006G053700.1	2655	2467.28	817	43.9193
Sobic.006G053800.2	1931	1743.28	0	0
Sobic.006G053900.1	519	331.755	0	0
Sobic.006G054000.3	883	695.507	0	0
Sobic.006G054200.1	4802	4614.28	29	0.833577
Sobic.006G054233.1	159	9.96613	0	0
Sobic.006G054300.1	1301	1113.28	230	27.4016
Sobic.006G054400.1	1782	1594.28	0	0
Sobic.006G054500.1	1116	928.275	569	81.2993
Sobic.006G054600.1	1015	827.275	0	0
Sobic.006G054700.1	2268	2080.28	29	1.84896
Sobic.006G054800.1	3757	3569.28	244	9.06695
Sobic.006G054900.1	1031	843.275	529	83.2027
Sobic.006G055000.3	2947	2759.28	2960.89	142.324
Sobic.006G055200.2	3134	2946.28	408	18.367
Sobic.006G055300.1	1272	1084.28	309	37.7981
Sobic.006G055400.1	2383	2195.28	1337	80.7781
Sobic.006G055501.1	1342	1154.28	0	0
Sobic.006G055600.1	1851	1663.28	21	1.67458
Sobic.006G055800.1	1214	1026.28	1157	149.527
Sobic.006G055900.2	683	495.675	0	0
Sobic.006G055950.1	622	434.675	0	0
Sobic.006G056000.2	4060	3872.28	287.288	9.84016
Sobic.006G056100.3	1504	1316.28	49	4.93743
Sobic.006G056200.2	1386	1198.28	448	49.5876
Sobic.006G056300.1	1867	1679.28	0	0
Sobic.006G056400.1	1329	1141.28	46	5.34588
Sobic.006G056600.1	1596	1408.28	91.3735	8.60566
Sobic.006G056700.1	2193	2005.28	462	30.5576
Sobic.006G056900.2	603	415.717	1	0.319046
Sobic.006G057000.4	2297	2109.28	102	6.41384
